TimeSlot,LogCount,StressScore,IsAnomaly
2025-11-06 02,294,518,0
2025-11-06 03,296,507,0
2025-11-06 04,283,491,0
2025-11-06 05,295,532,0
2025-11-06 06,283,493,0
2025-11-06 07,323,552,0
2025-11-06 08,287,528,0
2025-11-06 09,297,519,0
2025-11-06 10,259,452,0
2025-11-06 11,303,556,0
2025-11-06 12,304,525,0
2025-11-06 13,324,569,0
2025-11-06 14,339,583,0
2025-11-06 15,282,506,0
2025-11-06 16,274,476,0
2025-11-06 17,313,555,0
2025-11-06 18,270,459,0
2025-11-06 19,333,584,0
2025-11-06 20,303,520,0
2025-11-06 21,296,511,0
2025-11-06 22,270,465,0
2025-11-06 23,290,514,0
2025-11-07 00,319,555,0
2025-11-07 01,311,528,0
2025-11-07 02,279,489,0
2025-11-07 03,298,522,0
2025-11-07 04,323,562,0
2025-11-07 05,284,521,0
2025-11-07 06,317,553,0
2025-11-07 07,303,532,0
2025-11-07 08,293,532,0
2025-11-07 09,309,547,0
2025-11-07 10,322,570,0
2025-11-07 11,291,516,0
2025-11-07 12,283,480,0
2025-11-07 13,279,508,0
2025-11-07 14,290,519,0
2025-11-07 15,314,536,0
2025-11-07 16,302,531,0
2025-11-07 17,267,475,0
2025-11-07 18,278,508,0
2025-11-07 19,309,517,0
2025-11-07 20,287,498,0
2025-11-07 21,314,541,0
2025-11-07 22,318,586,0
2025-11-07 23,301,511,0
2025-11-08 00,294,502,0
2025-11-08 01,299,530,0
2025-11-08 02,353,607,1
2025-11-08 03,299,505,0
2025-11-08 04,296,527,0
2025-11-08 05,268,480,0
2025-11-08 06,305,501,0
2025-11-08 07,318,529,0
2025-11-08 08,295,518,0
2025-11-08 09,289,488,0
2025-11-08 10,282,473,0
2025-11-08 11,285,479,0
2025-11-08 12,286,511,0
2025-11-08 13,325,568,0
2025-11-08 14,283,485,0
2025-11-08 15,293,525,0
2025-11-08 16,301,543,0
2025-11-08 17,284,490,0
2025-11-08 18,317,536,0
2025-11-08 19,298,508,0
2025-11-08 20,315,547,0
2025-11-08 21,322,544,0
2025-11-08 22,313,561,0
2025-11-08 23,286,508,0
2025-11-09 00,294,520,0
2025-11-09 01,323,591,0
2025-11-09 02,347,584,0
2025-11-09 03,282,486,0
2025-11-09 04,280,483,0
2025-11-09 05,270,475,0
2025-11-09 06,282,507,0
2025-11-09 07,317,547,0
2025-11-09 08,298,518,0
2025-11-09 09,310,550,0
2025-11-09 10,292,508,0
2025-11-09 11,284,497,0
2025-11-09 12,301,525,0
2025-11-09 13,281,484,0
2025-11-09 14,313,543,0
2025-11-09 15,274,482,0
2025-11-09 16,309,555,0
2025-11-09 17,250,430,0
